observed_on,updated_at,num_identification_agreements,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,scientific_name,common_name
7/30/2012,2015-07-01 08:56:32 UTC,3,"1750 N Altadena Dr, Pasadena, California, US",34.177011,-118.096764,5,5,Quercus agrifolia,coast live oak
7/26/2012,2015-12-31 04:37:44 UTC,1,south arroyo park,34.1396065,-118.1666762,,,Quercus agrifolia,coast live oak
7/25/2012,2015-12-31 04:44:33 UTC,1,Eaton Canyon,34.18407651,-118.095719,,,Quercus agrifolia,coast live oak
7/5/2012,2015-07-01 17:43:17 UTC,2,Eaton Canyon,34.177118,-118.096749,1795,1795,Quercus agrifolia,coast live oak
7/3/2012,2015-07-01 17:47:00 UTC,1,"Eaton Canyon Nature, CA",34.18261762,-118.0968107,,,Quercus agrifolia,coast live oak
9/12/2012,2025-01-02 03:09:30 UTC,3,"Eaton Canyon Creek, Pasadena, California, US",34.183148,-118.097482,5,5,Quercus agrifolia,coast live oak
9/13/2012,2015-07-01 19:02:49 UTC,2,,34.18221447,-118.096668,1319,1319,Quercus agrifolia,coast live oak
8/29/2012,2025-01-02 03:10:27 UTC,2,Eaton Canyon Park,34.1848423,-118.0954422,811,811,Quercus agrifolia,coast live oak
9/19/2012,2025-01-02 03:10:19 UTC,3,"Eaton Canyon, CA",34.18198144,-118.0934114,,,Quercus agrifolia,coast live oak
10/3/2012,2015-07-01 19:34:12 UTC,2,Eaton Canyon Park,34.18484374,-118.0954083,,,Quercus agrifolia,coast live oak
10/4/2012,2015-07-01 19:52:48 UTC,2,eaton canyon,34.17789561,-118.0964369,,,Quercus agrifolia,coast live oak
9/6/2012,2024-12-27 09:36:08 UTC,1,Eaton Canyon Park,34.18485561,-118.0954194,,,Quercus agrifolia,coast live oak
10/24/2012,2018-05-23 21:14:50 UTC,1,Sam Merrill Trail,34.21203506,-118.1215078,,,Quercus agrifolia,coast live oak
11/7/2012,2015-07-01 21:12:42 UTC,2,"Eaton Canyon Park, Pasadena, CA",34.2145,-118.2305,,,Quercus agrifolia,coast live oak
11/12/2012,2017-04-04 21:21:00 UTC,2,"Eaton Canyon Natural Area, Los Angeles County, US-CA, US",34.1817982,-118.0963159,7,7,Quercus agrifolia,coast live oak
11/14/2012,2025-01-02 03:10:07 UTC,1,"Eaton Canyon Park, Pasadena, California, US",34.180346,-118.096796,5,5,Quercus agrifolia,coast live oak
11/7/2012,2024-12-27 09:36:05 UTC,1,"Oak Grove Park, Pasadena, California, US",34.191901,-118.176079,10,10,Quercus agrifolia,coast live oak
11/21/2012,2014-10-19 21:02:31 UTC,1,,34.17996456,-118.0966822,8,8,Quercus agrifolia,coast live oak
11/21/2012,2016-01-04 02:42:39 UTC,2,,34.17957192,-118.096792,8,8,Quercus agrifolia,coast live oak
11/21/2012,2015-07-01 23:29:53 UTC,2,,34.17954406,-118.0968286,8,8,Quercus agrifolia,coast live oak
11/21/2012,2015-07-01 23:43:30 UTC,1,,34.17684289,-118.0964597,7,7,Quercus agrifolia,coast live oak
11/27/2012,2025-01-02 03:11:06 UTC,1,"Hahamongna Watershed Park, Pasadena, California, US",34.190789,-118.171311,5,5,Quercus agrifolia,coast live oak
11/28/2012,2025-01-02 03:10:48 UTC,2,hahamongna watershed park,34.192427,-118.176194,100,100,Quercus agrifolia,coast live oak
11/21/2012,2020-07-17 19:36:25 UTC,2,"Eaton Canyon Creek, Pasadena, California, US",34.182913,-118.096743,5,5,Quercus agrifolia,coast live oak
11/28/2012,2024-12-27 09:36:47 UTC,1,"Oak Grove Park, Pasadena, California, US",34.190747,-118.177128,5,5,Quercus agrifolia,coast live oak
11/29/2012,2014-10-19 21:15:21 UTC,1,Hahamongna Watershed Park,34.1919919,-118.1722419,1457,1457,Quercus agrifolia,coast live oak
1/9/2013,2014-10-19 23:25:49 UTC,1,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
1/9/2013,2014-10-19 23:27:51 UTC,1,Eaton Canyon,34.18170578,-118.0963688,,,Quercus agrifolia,coast live oak
2/6/2013,2020-07-17 19:36:16 UTC,2,"Eaton Canyon Natural Area, Los Angeles County, US-CA, US",34.180054,-118.096824,17,17,Quercus agrifolia,coast live oak
2/6/2013,2014-10-19 23:02:51 UTC,1,eaton canyon park,34.1848423,-118.0954422,811,811,Quercus agrifolia,coast live oak
2/13/2013,2016-02-14 21:31:05 UTC,2,,34.1742731,-118.1045545,1409,1409,Quercus agrifolia,coast live oak
2/20/2013,2025-01-02 03:10:00 UTC,2,"Mount Wilson Toll Rd, Pasadena, California, US",34.19233333,-118.104,,,Quercus agrifolia,coast live oak
2/20/2013,2015-07-02 08:25:19 UTC,3,Eaton Canyon,34.18388078,-118.0980463,,,Quercus agrifolia,coast live oak
2/6/2013,2014-10-19 23:29:40 UTC,1,Eaton Canyon Park ,34.18446067,-118.0988969,117,117,Quercus agrifolia,coast live oak
2/24/2013,2014-10-19 23:31:16 UTC,2,"Eaton Canyon, Pasadena, CA",34.15499987,-118.0700684,100000,100000,Quercus agrifolia,coast live oak
2/22/2013,2015-06-19 23:56:41 UTC,2,eaton canyon,34.17843545,-118.0928993,1795,1795,Quercus agrifolia,coast live oak
1/30/2013,2014-10-19 23:34:59 UTC,1,"eaton canyon, pasadena, ca",34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
3/20/2013,2014-10-20 00:13:43 UTC,1,"Hahamonga Watershed Park, CA",34.1919919,-118.1722419,1457,1457,Quercus agrifolia,coast live oak
3/16/2013,2019-11-20 04:12:31 UTC,1,Eaton Canyon,34.18338804,-118.0963326,,,Quercus agrifolia,coast live oak
2/27/2013,2015-07-09 17:50:21 UTC,2,eaton canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
3/30/2013,2014-10-20 00:34:56 UTC,1,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
3/31/2013,2014-10-20 00:36:15 UTC,1,"Rancho Santa Ana Botanic Garden, Claremont, California, US",34.114846,-117.714411,5,5,Quercus agrifolia,coast live oak
3/20/2013,2020-07-17 19:38:02 UTC,1,"Los Angeles County, US-CA, US",34.19323024,-118.1756186,,,Quercus agrifolia,coast live oak
3/13/2013,2020-07-17 19:38:04 UTC,1,"Los Angeles County, US-CA, US",34.19313262,-118.175683,83,83,Quercus agrifolia,coast live oak
3/13/2013,2018-09-17 03:47:27 UTC,1,"Los Angeles County, US-CA, US",34.19384257,-118.174181,120,120,Quercus agrifolia,coast live oak
2/6/2013,2014-10-20 00:37:48 UTC,1,Eaton Canyon,34.18141769,-118.0927706,,,Quercus agrifolia,coast live oak
4/3/2013,2015-07-09 18:28:43 UTC,4,Hahamongna Watershed Park,34.1919919,-118.1722419,1457,1457,Quercus agrifolia,coast live oak
4/4/2013,2025-01-02 03:09:47 UTC,1,"Rocky Oaks, Agoura Hills, California, US",34.097619,-118.813134,5,5,Quercus agrifolia,coast live oak
4/7/2013,2025-01-02 03:10:50 UTC,2,"1418 Descanso Dr, La Canada Flintridge, California, US",34.20191643,-118.2123881,5,5,Quercus agrifolia,coast live oak
2/27/2013,2020-07-17 19:38:08 UTC,1,"Eaton Canyon Park, Pasadena, California, US",34.182017,-118.096505,98,98,Quercus agrifolia,coast live oak
4/10/2013,2014-10-20 00:59:44 UTC,1,"Oak Grove Park, Pasadena, California, US",34.19408132,-118.174098,5,5,Quercus agrifolia,coast live oak
2/20/2013,2018-09-17 03:47:53 UTC,1,Eaton Canyon park,34.1848423,-118.0954422,811,811,Quercus agrifolia,coast live oak
2/26/2013,2018-08-14 05:20:27 UTC,1,"Eaton Canyon, Pasadena",34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
1/30/2013,2015-06-30 19:11:06 UTC,1,Eaton canyoni,34.18290877,-118.0967832,,,Quercus agrifolia,coast live oak
1/30/2013,2015-07-08 21:18:02 UTC,1,"Eaton Canyon Creek, Pasadena, California, US",34.181187,-118.095024,252,252,Quercus agrifolia,coast live oak
2/20/2013,2020-07-17 19:38:11 UTC,1,"Eaton Canyon Park, Pasadena, California, US",34.1815,-118.0963333,,,Quercus agrifolia,coast live oak
4/1/2013,2015-07-08 21:39:46 UTC,2,Eaton Canyon,34.18262548,-118.0970527,17,17,Quercus agrifolia,coast live oak
1/30/2013,2025-01-02 03:10:36 UTC,1,"Eaton Canyon Park, Pasadena, California, US",34.18183333,-118.0965,,,Quercus agrifolia,coast live oak
4/1/2013,2015-07-09 01:13:55 UTC,1,"Eaton Canyon Park, Pasadena, California, US",34.186,-118.1003333,,,Quercus agrifolia,coast live oak
4/22/2013,2015-07-09 01:21:28 UTC,3,Eaton Canyon,34.186388,-118.096161,439,439,Quercus agrifolia,coast live oak
5/14/2013,2015-07-09 05:03:40 UTC,2,Eaton Canyon Park,34.184842,-118.095442,811,811,Quercus agrifolia,coast live oak
5/15/2013,2024-12-31 02:47:50 UTC,1,"157 N Edgeware Rd, Los Angeles, California, US",34.062384,-118.256995,5,5,Quercus agrifolia,coast live oak
5/15/2013,2015-07-09 05:06:14 UTC,1,"Eaton Canyon Park, Pasadena, California, US",34.178423,-118.096847,30,30,Quercus agrifolia,coast live oak
5/14/2013,2025-01-02 03:10:45 UTC,1,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
5/15/2013,2015-07-09 05:14:46 UTC,1,"Eaton Canyon Park, Pasadena, California, US",34.181243,-118.09549,,,Quercus agrifolia,coast live oak
5/14/2013,2014-10-20 02:52:35 UTC,1,"Eaton Canyon Park, Pasadena, California, US",34.18179911,-118.0964763,5,5,Quercus agrifolia,coast live oak
5/24/2013,2020-07-17 23:25:52 UTC,1,"Granada Park, Alhambra, California, US",34.06762673,-118.1460233,5,5,Quercus agrifolia,coast live oak
5/31/2013,2020-07-17 19:38:09 UTC,1,"Griffith Park, Los Angeles, California, US",34.109975,-118.307122,5,5,Quercus agrifolia,coast live oak
6/2/2013,2020-07-17 19:38:09 UTC,1,"Descanso Gardens, La Canada Flintridge, California, US",34.200654,-118.211765,,,Quercus agrifolia,coast live oak
5/29/2013,2016-10-26 04:52:03 UTC,2,HAHamonga watersheild park,34.204841,-118.165719,,,Quercus agrifolia,coast live oak
5/6/2013,2020-07-17 19:38:24 UTC,1,eaton canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
6/3/2013,2020-07-17 19:38:23 UTC,1,Eaton Canyon California,34.186359,-118.092127,439,439,Quercus agrifolia,coast live oak
5/14/2013,2018-10-28 20:45:37 UTC,3,"Eaton Canyon Natural Area, Los Angeles, California, United States",34.18183333,-118.0965,,,Quercus agrifolia,coast live oak
5/14/2013,2024-12-27 09:35:41 UTC,2,"Eaton Canyon Park, Pasadena, California, US",34.18183333,-118.0965,,,Quercus agrifolia,coast live oak
9/10/2013,2025-01-02 03:09:42 UTC,2,Eaton Canyon Park,34.184842,-118.095442,811,811,Quercus agrifolia,coast live oak
9/10/2013,2020-07-17 19:37:55 UTC,1,eaton canyon park,34.19418,-118.104519,104,104,Quercus agrifolia,coast live oak
9/17/2013,2018-05-23 12:33:43 UTC,1,"Eaton Canyon Park, Pasadena, California, US",34.17795,-118.096226,10,10,Quercus agrifolia,coast live oak
9/17/2013,2014-10-20 08:51:59 UTC,1,Eaton Canyon Park,34.184842,-118.095442,811,811,Quercus agrifolia,coast live oak
10/15/2013,2014-10-20 10:00:06 UTC,2,"Eaton Canyon Park, Pasadena, CA, US",34.18135833,-118.09575,,,Quercus agrifolia,coast live oak
10/15/2013,2020-10-02 18:43:26 UTC,2,"Eaton Canyon Park, Pasadena, CA, US",34.18135833,-118.09575,,,Quercus agrifolia,coast live oak
10/24/2013,2018-01-13 18:23:44 UTC,2,Bette Davis Picnic Area,34.157566,-118.295113,25,25,Quercus agrifolia,coast live oak
11/5/2013,2020-07-17 22:03:55 UTC,1,"Oak Grove Park, Pasadena, California, US",34.192385,-118.176153,10,10,Quercus agrifolia,coast live oak
11/5/2013,2020-07-17 22:03:53 UTC,1,"Oak Grove Park, Pasadena, California, US",34.192562,-118.176116,30,30,Quercus agrifolia,coast live oak
9/17/2013,2015-07-09 08:28:25 UTC,3,"Eaton Canyon Park, Pasadena, CA, US",34.180226,-118.095587,,,Quercus agrifolia,coast live oak
11/12/2013,2015-07-08 20:46:19 UTC,2,hahamonga watershed park la canada,34.191992,-118.172242,1457,1457,Quercus agrifolia,coast live oak
11/20/2013,2025-01-02 03:09:20 UTC,2,"Eaton Canyon, CA",34.184822,-118.0953,879,879,Quercus agrifolia,coast live oak
11/29/2013,2024-11-18 22:35:59 UTC,1,"CA-110 N, South Pasadena, CA, US",34.11329167,-118.17472,,,Quercus agrifolia,coast live oak
9/24/2013,2020-07-17 23:25:43 UTC,1,eaton canyon,34.186476,-118.089294,439,439,Quercus agrifolia,coast live oak
11/6/2013,2014-10-20 11:47:50 UTC,1,hahamongan park,34.190847,-118.176026,1457,1457,Quercus agrifolia,coast live oak
9/17/2013,2024-12-27 09:40:59 UTC,1,Eaton Canyon Park,34.184842,-118.095442,811,811,Quercus agrifolia,coast live oak
12/3/2013,2016-03-16 07:30:46 UTC,1,"Oak Grove Park, Pasadena, CA, US",34.19254052,-118.1758159,5,5,Quercus agrifolia,coast live oak
11/26/2013,2020-07-17 23:25:42 UTC,1,3990 North Fair Oaks 91001,34.208118,-118.140543,195,195,Quercus agrifolia,coast live oak
12/3/2013,2020-08-22 05:57:14 UTC,1,"Eaton Canyon Park, Pasadena, CA, US",34.181263,-118.096395,5,5,Quercus agrifolia,coast live oak
12/3/2013,2015-07-09 20:12:39 UTC,1,"Eaton Canyon Park, Pasadena, CA, US",34.181537,-118.096272,5,5,Quercus agrifolia,coast live oak
12/3/2013,2014-10-20 11:50:34 UTC,1,"Eaton Canyon Park, Pasadena, California, US",34.181365,-118.096384,200,200,Quercus agrifolia,coast live oak
12/3/2013,2025-01-02 03:10:32 UTC,2,"Lower Arroyo, Pasadena, CA",34.140285,-118.167294,1795,1795,Quercus agrifolia,coast live oak
11/5/2013,2020-07-17 22:03:36 UTC,1,"Oak Grove Park, Pasadena, California, US",34.19266667,-118.176,,,Quercus agrifolia,coast live oak
12/3/2013,2025-01-02 03:10:57 UTC,1,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
12/2/2013,2018-05-23 12:27:34 UTC,1,"Eaton Canyon Park, Pasadena, CA, US",34.181451,-118.096321,10,10,Quercus agrifolia,coast live oak
9/3/2013,2018-10-28 19:40:38 UTC,3,eaton canon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
9/17/2013,2015-07-09 22:00:38 UTC,2,"Eaton Canyon Park, Pasadena, California, US",34.17933333,-118.0968333,,,Quercus agrifolia,coast live oak
12/1/2013,2015-07-13 22:24:04 UTC,3,Hahamongna Watershed Park,34.191992,-118.172242,1457,1457,Quercus agrifolia,coast live oak
9/17/2013,2014-10-20 12:01:43 UTC,1,"Eaton Canyon Park, Pasadena, California, US",34.178153,-118.096775,117,117,Quercus agrifolia,coast live oak
12/1/2013,2020-04-07 12:25:15 UTC,0,"chantry flats, arcadia, ca",34.183959,-118.024992,1467,1467,Quercus agrifolia,coast live oak
1/28/2014,2024-12-27 09:41:09 UTC,2,"Eaton Canyon Park, Pasadena, CA, US",34.18289512,-118.0974677,5,5,Quercus agrifolia,coast live oak
1/28/2014,2025-01-02 03:09:37 UTC,1,"Eaton Canyon, Pasadena ",34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
1/14/2014,2018-05-23 12:25:41 UTC,1,"Eaton Canyon, pasadena ca.",34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
1/28/2014,2017-03-25 12:55:54 UTC,1,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
1/28/2014,2024-12-27 09:40:37 UTC,1,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
1/28/2014,2018-05-23 12:25:25 UTC,1,Eaton Canyon Park,34.184842,-118.095442,811,811,Quercus agrifolia,coast live oak
2/4/2014,2014-10-20 15:58:05 UTC,1,"Eaton Canyon Park, Pasadena, Ca",34.184842,-118.095442,811,811,Quercus agrifolia,coast live oak
2/8/2014,2021-01-20 01:40:25 UTC,1,"Los Angeles, California, United States",34.090733,-118.568825,,,Quercus agrifolia,coast live oak
2/18/2014,2018-05-23 12:24:56 UTC,1,"Eaton Canyon Park, Pasadena, CA, US",34.177035,-118.096769,194,194,Quercus agrifolia,coast live oak
2/7/2014,2018-05-23 12:24:39 UTC,1,eaton canyon,34.192486,-118.105707,13,13,Quercus agrifolia,coast live oak
2/28/2014,2018-01-13 18:28:08 UTC,2,"Exposition Park, Los Angeles, CA, US",34.017257,-118.288591,5,5,Quercus agrifolia,coast live oak
2/28/2014,2018-01-13 18:28:09 UTC,1,,34.01734117,-118.2885688,16,16,Quercus agrifolia,coast live oak
4/5/2014,2021-01-20 17:27:25 UTC,1,"Los Angeles County, US-CA, US",34.230887,-118.632315,,,Quercus agrifolia,coast live oak
4/26/2014,2021-01-20 01:39:56 UTC,1,"Paramount Ranch, Santa Monica Mountains National Recreation Area, Los Angeles County, US-CA, US",34.115669,-118.756424,165,165,Quercus agrifolia,coast live oak
2/22/2014,2020-07-17 19:38:37 UTC,1,"Eaton Canyon Natural Area, Los Angeles, California, United States",34.18159444,-118.0963056,,,Quercus agrifolia,coast live oak
4/27/2014,2014-10-19 01:27:35 UTC,1,eaton canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
5/1/2014,2020-07-17 19:38:35 UTC,1,"Eaton Canyon Park, Pasadena, CA, US",34.18167413,-118.0961475,5,5,Quercus agrifolia,coast live oak
5/1/2014,2017-06-23 23:01:40 UTC,1,"Los Angeles County, US-CA, US",34.1457425,-118.1202331,945,945,Quercus agrifolia,coast live oak
2/4/2014,2020-07-17 23:25:57 UTC,1,"Eaton Canyon Natural Area, Los Angeles, California, United States",34.1824,-118.095925,,,Quercus agrifolia,coast live oak
4/27/2014,2018-09-17 03:52:51 UTC,1,eaton canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
4/5/2014,2023-12-31 19:50:25 UTC,0,Eaton Canyon ,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
4/8/2014,2018-09-17 03:52:57 UTC,1,eaton canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
5/4/2014,2020-07-17 22:03:34 UTC,1,"Eaton Canyon Park, Pasadena, CA, US",34.18092,-118.096482,5,5,Quercus agrifolia,coast live oak
5/4/2014,2020-08-22 21:08:20 UTC,1,"Eaton Canyon Park, Pasadena, CA, US",34.180784,-118.096763,482,482,Quercus agrifolia,coast live oak
4/29/2014,2018-09-17 03:53:26 UTC,1,Whittean Narrows Nature Center,34.034915,-118.044959,194,194,Quercus agrifolia,coast live oak
2/23/2014,2023-12-03 22:53:16 UTC,1,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
5/1/2014,2018-09-17 03:53:30 UTC,1,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
5/3/2014,2018-09-17 03:53:33 UTC,1,Eaton canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
5/3/2014,2018-09-17 03:53:36 UTC,1,Eaton canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
5/1/2014,2018-09-17 03:53:42 UTC,1,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
4/29/2014,2023-12-31 19:46:16 UTC,1,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
5/28/2014,2025-01-02 03:09:46 UTC,2,"Eaton Canyon Natural Area, Los Angeles, California, United States",34.18156111,-118.0963528,,,Quercus agrifolia,coast live oak
6/2/2014,2018-09-17 03:54:21 UTC,1,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
6/2/2014,2014-10-19 02:34:46 UTC,2,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
6/3/2014,2020-11-24 05:41:11 UTC,1,Eaton Canyon,34.18792,-118.102162,168,168,Quercus agrifolia,coast live oak
6/4/2014,2025-01-02 03:09:33 UTC,1,eaton canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
6/16/2014,2018-12-16 06:22:05 UTC,3,Chantry Flat,34.195283,-118.023956,1794,1794,Quercus agrifolia,coast live oak
5/19/2014,2015-08-09 19:23:20 UTC,1,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
5/27/2014,2015-08-09 19:13:01 UTC,3,Eaton Canyon,34.194587,-118.102391,,,Quercus agrifolia,coast live oak
6/23/2014,2020-08-22 05:58:13 UTC,1,eaton canyon ,34.181551,-118.096174,13,13,Quercus agrifolia,coast live oak
9/16/2014,2014-11-16 17:45:02 UTC,1,"Eaton Canyon Park, Pasadena, CA, US",34.147785,-118.144516,13670,13670,Quercus agrifolia,coast live oak
9/2/2014,2014-10-18 00:04:23 UTC,1,Eaton Canyon nature center,34.177072,-118.097116,194,194,Quercus agrifolia,coast live oak
7/1/2007,2018-01-13 18:37:11 UTC,1,"Los Angeles, California, United States",34.122605,-118.292713,,,Quercus agrifolia,coast live oak
9/23/2014,2025-01-02 03:09:29 UTC,1,"eaton Canyon Pasadena, CA",34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
9/23/2014,2025-01-02 03:10:18 UTC,3,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
10/3/2014,2014-10-18 00:43:04 UTC,1,Los Flores Canyon,34.205568,-118.12723,3,3,Quercus agrifolia,coast live oak
11/2/2014,2021-01-20 01:39:46 UTC,2,Muholland Drive Summit,34.121552,-118.398018,,,Quercus agrifolia,coast live oak
11/9/2014,2018-10-27 14:32:20 UTC,2,"Los Angeles, California, United States",34.13421944,-118.1309278,,,Quercus agrifolia,coast live oak
11/2/2014,2014-11-16 23:28:40 UTC,0,chantry flats sierra madre ca,34.171812,-118.030312,198,198,Quercus agrifolia,coast live oak
9/2/2014,2020-08-22 21:09:04 UTC,1,"Eaton Canyon Park, Pasadena, CA, US",34.18178833,-118.0962222,,,Quercus agrifolia,coast live oak
9/23/2014,2025-01-02 03:11:02 UTC,2,"Eaton Canyon Park, Pasadena, CA, US",34.18166333,-118.0964445,,,Quercus agrifolia,coast live oak
11/16/2014,2014-12-04 04:59:18 UTC,2,,34.1786806,-118.09706,36,36,Quercus agrifolia,coast live oak
11/16/2014,2014-11-18 00:41:30 UTC,1,Altadena,34.190162,-118.131319,4936,4936,Quercus agrifolia,coast live oak
11/16/2014,2014-11-18 00:40:49 UTC,1,"Eaton Canyon Park, Pasadena, CA, US",34.179625,-118.097026,5,5,Quercus agrifolia,coast live oak
9/28/2014,2014-12-04 04:53:16 UTC,3,eaton canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
11/18/2014,2014-11-19 06:16:57 UTC,0,,34.214541,-118.146236,3,3,Quercus agrifolia,coast live oak
11/25/2014,2020-08-22 21:11:17 UTC,2,"伊顿峡谷公园, 帕萨迪纳, CA, US",34.184834,-118.0963,5,5,Quercus agrifolia,coast live oak
11/30/2014,2014-12-03 05:52:50 UTC,1,,34.19562323,-118.0225436,688,688,Quercus agrifolia,coast live oak
12/5/2014,2014-12-06 23:26:09 UTC,0,eaton canyan,34.174291,-118.093037,274,274,Quercus agrifolia,coast live oak
10/7/2014,2025-01-02 03:11:10 UTC,1,Eaton canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
12/7/2014,2020-10-02 05:20:29 UTC,3,Eaton Canyon,34.182769,-118.098588,3,3,Quercus agrifolia,coast live oak
12/7/2014,2025-01-02 03:10:39 UTC,1,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
12/2/2014,2018-10-27 14:27:30 UTC,1,eaton canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
12/7/2014,2018-01-13 18:40:55 UTC,1,Griffith Park,34.136554,-118.2942,4610,4610,Quercus agrifolia,coast live oak
12/7/2014,2016-03-26 19:11:08 UTC,1,"Los Angeles County, US-CA, US",34.20576069,-118.1328623,42,42,Quercus agrifolia,coast live oak
12/7/2014,2025-01-02 03:10:46 UTC,1,Eaton Canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
12/7/2014,2014-12-09 22:27:10 UTC,1,Eaton canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
9/26/2014,2014-12-16 03:14:59 UTC,1,eaton canyon ca,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
9/2/2014,2025-01-02 03:09:21 UTC,1,eaton canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
12/9/2014,2021-06-30 01:15:46 UTC,3,eaton canyon,34.16224,-118.085,1795,1795,Quercus agrifolia,coast live oak
11/11/2014,2014-12-14 14:51:45 UTC,1,Chantry Flats CA,34.196201,-118.023875,,,Quercus agrifolia,coast live oak
1/20/2015,2020-08-31 02:31:50 UTC,2,"Eaton Canyon Natural Area, Los Angeles County, US-CA, US",34.18441613,-118.0973908,9,9,Quercus agrifolia,coast live oak
3/31/2015,2015-04-16 05:02:28 UTC,2,"Angeles National Forest, La Canada Flintridge, CA, US",34.19701167,-118.0216362,5,5,Quercus agrifolia,coast live oak
1/20/2015,2017-03-25 09:56:43 UTC,1,"Eaton Canyon Park, Pasadena, CA, US",34.1820799,-118.0958395,5,5,Quercus agrifolia,coast live oak
2/10/2015,2020-08-31 02:32:34 UTC,1,"Eaton Canyon Natural Area, Los Angeles, California, United States",34.18079756,-118.0964126,,,Quercus agrifolia,coast live oak
2/10/2015,2018-10-27 14:24:31 UTC,1,"Eaton Canyon Park, Pasadena, CA, US",34.181628,-118.096403,5,5,Quercus agrifolia,coast live oak
